,Date,Price,Open,High,Low,Vol.,Change %
0,"Sep 18, 2020",43.15,43.22,43.8,42.53,204.66K,-0.35%
1,"Sep 17, 2020",43.3,42.32,43.5,41.5,237.40K,2.56%
2,"Sep 16, 2020",42.22,40.72,42.44,40.59,237.25K,4.17%
3,"Sep 15, 2020",40.53,39.7,40.82,39.39,214.80K,2.32%
4,"Sep 14, 2020",39.61,39.78,40.09,39.3,200.09K,-0.55%
5,"Sep 11, 2020",39.83,39.96,40.34,39.38,211.88K,-0.57%
6,"Sep 10, 2020",40.06,40.58,40.96,39.71,208.86K,-1.79%
7,"Sep 09, 2020",40.79,39.65,41.2,39.37,278.22K,2.54%
8,"Sep 08, 2020",39.78,42.08,42.23,39.31,363.53K,-5.31%
9,"Sep 07, 2020",42.01,42.2,42.43,41.51,122.98K,-1.52%
10,"Sep 04, 2020",42.66,43.76,44.54,42.3,270.96K,-3.20%
11,"Sep 03, 2020",44.07,44.65,44.65,43.15,274.93K,-0.81%
12,"Sep 02, 2020",44.43,45.83,46.05,44.2,260.14K,-2.52%
13,"Sep 01, 2020",45.58,45.6,46.22,45.47,206.72K,0.66%
14,"Aug 31, 2020",45.28,45.8,46.53,45.21,174.31K,0.51%
15,"Aug 28, 2020",45.05,45.1,45.3,44.8,21.14K,-0.09%
16,"Aug 27, 2020",45.09,45.7,45.87,44.56,102.26K,-1.21%
17,"Aug 26, 2020",45.64,45.97,46.1,45.54,132.51K,-0.48%
18,"Aug 25, 2020",45.86,45.12,46.07,45.08,178.31K,1.62%
19,"Aug 24, 2020",45.13,44.5,45.18,44.29,176.64K,1.76%
20,"Aug 21, 2020",44.35,45.03,45.08,43.59,221.99K,-1.22%
21,"Aug 20, 2020",44.9,45.14,45.18,44.02,249.74K,-1.04%
22,"Aug 19, 2020",45.37,45.17,45.48,44.81,174.88K,-0.20%
23,"Aug 18, 2020",45.46,45.27,45.55,44.76,181.69K,0.20%
24,"Aug 17, 2020",45.37,44.86,45.41,44.53,164.23K,1.27%
25,"Aug 14, 2020",44.8,45.29,45.29,44.47,151.46K,-0.36%
26,"Aug 13, 2020",44.96,45.32,45.58,44.82,148.41K,-1.03%
27,"Aug 12, 2020",45.43,44.62,45.63,44.49,166.48K,2.09%
28,"Aug 11, 2020",44.5,45.05,45.79,44.39,202.74K,-1.09%
29,"Aug 10, 2020",44.99,44.66,45.26,44.37,135.30K,1.33%
30,"Aug 07, 2020",44.4,45.15,45.3,44.27,171.72K,-1.53%
31,"Aug 06, 2020",45.09,45.32,45.71,44.85,184.52K,-0.18%
32,"Aug 05, 2020",45.17,44.28,46.23,44.24,246.98K,1.67%
33,"Aug 04, 2020",44.43,43.84,44.82,43.24,227.12K,0.63%
34,"Aug 03, 2020",44.15,43.53,44.46,42.89,198.70K,1.96%
35,"Jul 31, 2020",43.3,43.29,43.44,43.05,14.42K,0.84%
36,"Jul 30, 2020",42.94,43.73,43.8,41.38,63.20K,-1.85%
37,"Jul 29, 2020",43.75,43.31,43.95,43.2,64.92K,1.23%
38,"Jul 28, 2020",43.22,43.55,43.84,43.0,107.34K,-0.44%
39,"Jul 27, 2020",43.41,43.35,43.77,42.39,174.75K,0.16%
40,"Jul 24, 2020",43.34,43.27,43.9,42.79,191.05K,0.07%
41,"Jul 23, 2020",43.31,44.1,44.77,43.13,262.24K,-2.21%
42,"Jul 22, 2020",44.29,44.03,44.4,43.62,202.16K,-0.07%
43,"Jul 21, 2020",44.32,43.17,44.89,43.16,229.78K,2.40%
44,"Jul 20, 2020",43.28,43.08,43.45,42.36,179.43K,0.32%
45,"Jul 17, 2020",43.14,43.4,43.45,42.64,162.40K,-0.53%
46,"Jul 16, 2020",43.37,43.71,43.8,43.14,172.16K,-0.96%
47,"Jul 15, 2020",43.79,43.07,43.85,42.7,232.18K,2.07%
48,"Jul 14, 2020",42.9,42.24,43.22,41.8,221.12K,0.42%
49,"Jul 13, 2020",42.72,43.12,43.34,42.14,200.31K,-1.20%
50,"Jul 10, 2020",43.24,42.36,43.42,41.32,214.05K,2.10%
51,"Jul 09, 2020",42.35,43.3,43.5,41.94,237.75K,-2.17%
52,"Jul 08, 2020",43.29,42.81,43.47,42.75,185.14K,0.49%
53,"Jul 07, 2020",43.08,43.13,43.45,42.46,183.23K,-0.05%
54,"Jul 06, 2020",43.1,42.79,43.71,42.74,185.02K,0.70%
55,"Jul 03, 2020",42.8,42.76,42.99,42.32,96.78K,-0.79%
56,"Jul 02, 2020",43.14,41.84,43.23,41.73,196.69K,2.64%
57,"Jul 01, 2020",42.03,41.58,42.62,41.03,252.52K,2.14%
58,"Jun 30, 2020",41.15,41.33,41.62,40.9,12.60K,-1.34%
59,"Jun 29, 2020",41.71,40.56,41.95,40.04,86.78K,1.68%
60,"Jun 26, 2020",41.02,41.44,41.81,40.29,120.32K,-0.07%
61,"Jun 25, 2020",41.05,40.35,41.64,39.47,166.05K,1.84%
62,"Jun 24, 2020",40.31,42.45,42.89,39.63,195.72K,-5.44%
63,"Jun 23, 2020",42.63,43.21,43.93,42.21,183.03K,-1.04%
64,"Jun 22, 2020",43.08,41.74,43.18,41.58,187.65K,2.11%
65,"Jun 19, 2020",42.19,41.72,42.92,41.03,217.49K,1.64%
66,"Jun 18, 2020",41.51,40.43,41.64,40.06,175.79K,1.97%
67,"Jun 17, 2020",40.71,40.61,41.46,40.03,175.24K,-0.61%
68,"Jun 16, 2020",40.96,39.94,41.65,38.95,248.58K,3.12%
69,"Jun 15, 2020",39.72,38.8,39.9,37.24,215.42K,2.56%
70,"Jun 12, 2020",38.73,37.88,39.45,37.01,237.89K,0.47%
71,"Jun 11, 2020",38.55,40.95,41.01,37.82,290.17K,-7.62%
72,"Jun 10, 2020",41.73,40.72,41.99,40.14,234.19K,1.34%
73,"Jun 09, 2020",41.18,41.1,41.45,39.85,222.36K,0.93%
74,"Jun 08, 2020",40.8,42.4,43.41,40.68,227.88K,-3.55%
75,"Jun 05, 2020",42.3,39.84,42.48,39.72,250.31K,5.78%
76,"Jun 04, 2020",39.99,39.6,40.1,39.04,172.61K,0.50%
77,"Jun 03, 2020",39.79,39.75,40.53,38.76,239.43K,0.56%
78,"Jun 02, 2020",39.57,38.34,39.75,38.26,205.22K,3.26%
79,"Jun 01, 2020",38.32,37.56,38.68,37.18,212.78K,8.46%
80,"May 29, 2020",35.33,35.15,35.37,34.06,14.71K,0.11%
81,"May 28, 2020",35.29,33.92,35.95,33.62,70.99K,1.58%
82,"May 27, 2020",34.74,35.93,36.16,33.98,112.25K,-3.95%
83,"May 26, 2020",36.17,35.66,36.68,35.26,129.98K,1.80%
84,"May 25, 2020",35.53,34.98,35.97,34.46,28.96K,1.14%
85,"May 22, 2020",35.13,36.18,36.23,33.54,174.59K,-2.58%
86,"May 21, 2020",36.06,35.82,36.98,35.75,178.55K,0.87%
87,"May 20, 2020",35.75,34.45,36.46,34.38,191.27K,3.17%
88,"May 19, 2020",34.65,35.66,35.76,34.2,188.93K,-0.46%
89,"May 18, 2020",34.81,32.78,35.72,32.69,232.25K,7.11%
90,"May 15, 2020",32.5,31.52,32.91,30.94,211.28K,4.40%
91,"May 14, 2020",31.13,29.52,31.55,28.88,222.21K,6.65%
92,"May 13, 2020",29.19,29.35,30.55,28.86,221.11K,-2.64%
93,"May 12, 2020",29.98,30.07,30.7,29.35,202.47K,1.18%
94,"May 11, 2020",29.63,30.7,31.47,29.35,242.21K,-4.33%
95,"May 08, 2020",30.97,29.6,31.14,29.43,147.30K,5.13%
96,"May 07, 2020",29.46,29.64,31.84,29.08,259.89K,-0.87%
97,"May 06, 2020",29.72,32.27,32.27,28.66,268.46K,-4.04%
98,"May 05, 2020",30.97,28.1,32.06,27.77,267.14K,13.86%
99,"May 04, 2020",27.2,26.1,28.08,25.5,215.73K,2.87%
100,"May 01, 2020",26.44,26.95,27.88,25.76,216.98K,4.63%
101,"Apr 30, 2020",25.27,22.87,25.76,22.87,9.69K,12.11%
102,"Apr 29, 2020",22.54,20.66,23.88,20.53,86.55K,10.17%
103,"Apr 28, 2020",20.46,19.9,21.29,18.73,123.22K,2.35%
104,"Apr 27, 2020",19.99,21.55,21.91,19.11,162.39K,-6.76%
105,"Apr 24, 2020",21.44,21.93,22.7,20.5,187.00K,0.52%
106,"Apr 23, 2020",21.33,20.89,23.22,20.07,256.30K,4.71%
107,"Apr 22, 2020",20.37,20.23,22.45,15.98,344.76K,5.38%
108,"Apr 21, 2020",19.33,26.33,26.5,17.51,637.21K,-24.40%
109,"Apr 20, 2020",25.57,28.05,28.25,25.37,361.83K,-8.94%
110,"Apr 17, 2020",28.08,28.66,28.93,27.58,286.17K,0.93%
111,"Apr 16, 2020",27.82,28.05,29.0,27.2,272.98K,0.47%
112,"Apr 15, 2020",27.69,30.26,30.33,27.16,284.34K,-6.45%
113,"Apr 14, 2020",29.6,32.25,32.32,29.38,297.55K,-6.74%
114,"Apr 13, 2020",31.74,33.99,33.99,30.63,223.29K,0.83%
115,"Apr 09, 2020",31.48,33.82,36.4,31.18,493.00K,-4.14%
116,"Apr 08, 2020",32.84,32.63,33.87,31.54,320.61K,3.04%
117,"Apr 07, 2020",31.87,33.66,34.18,31.74,303.42K,-3.57%
118,"Apr 06, 2020",33.05,31.76,34.24,30.03,296.07K,-3.11%
119,"Apr 03, 2020",34.11,29.89,35.0,28.25,541.28K,13.93%
120,"Apr 02, 2020",29.94,25.61,36.29,25.45,612.27K,21.02%
